Scheme Rule,Count
Applicant must be a domicile/resident of Maharashtra.,49
Open / Distance / Virtual / Part-time courses are not eligible.,48
Applicant must be an Indian National.,47
Admission through Management Quota / Institutional Level Quota is not eligible,24
Applicant must not be availing benefit of any other scholarship scheme simultaneously.,20
Admission through Management Quota / Institutional Level Quota is not eligible.,17
Minimum 50% attendance is required in previous semester (Exception for first semester freshly admitted Student).,16
The Student must be a domicile/resident of Maharashtra.,13
Benefits are not applicable to private self-financed / private / deemed universities.,12
Applicant must belong to the Economically Backward Class (EBC).,11
The student must be studying in a government or government aided school.,9
75 % attendance is mandatory for current year.,7
Benefits are not applicable to private self-financed / private universities.,7
Applicant will be eligible for scholarship if he / she changes the course Non – Professional to Professional but he will not be eligible if he / she changes the course from Professional to Non – Professional.,7
The Student must belong to the Vimukta Jati / Nomadic Tribes (VJNT) or Special Backward Class (SBC) Category.,6
"Applicant studying in particular professional/Non-Professional course, and availing benefits of scholarship/freeship for that academic course and if he/she wants to change his existing Professional/Non-Professional course in between academic years he/she will not be eligible for freeship/scholarship for further courses.",6
No scholarship will be paid to the Applicants under this scheme from the date he /she accepts another Scholarship / stipend.,6
Minimum 80% attendance is required.,5
Maharashtrian students who are studying outside the state of Maharashtra cannot apply for this scheme.,5
The Student must be a Girl child.,5
"Trainees who are: Suspended, or Not eligible for AITT, or Having left the institute are not eligible.",4
"If a student fails repeatedly (two or more complete failures) and cannot progress to the next academic year, the freeship benefit will be permanently discontinued for the remaining duration of the course.",4
Applicant must belong to the Other Backward Class (OBC).,4
The Student must belong to the Scheduled Caste (SC) Category.,3
Applicant must belong to the Economically Weaker Section (EWS).,3
The student must be studying in 5th to 10th Class/Grade.,3
The applicant must not be receiving similar hostel/maintenance benefits under any other scheme.,3
Academic gap during the course must not exceed 2 years.,3
Same/similar Government scholarship not allowed.,3
Maximum 500 candidates will be selected per district on merit basis,3
Applicant must belong to the ST Category.,3
Applicant must belong to the SC Category.,3
"Under this scheme, there will be no limit on the number of students eligible for the maintenance allowance if their income is up to ₹1.00 lakh. However, for students with an income limit of ₹1.00 lakh to ₹8.00 lakh who are taking admission to professional courses, a maximum limit of 500 beneficiaries is fixed for each district (33% reserved for Girls and as per course wise merit decided). If insufficient female students are available, the vacant seats can be utilized for male students in the same district.",3
The student must be studying in 1st to 10th Class/Grade.,3
Applicant must belong to theVimukta Jati / Nomadic Tribes (VJNT) Category.,2
Applicant must belong to the Special Backward Class (SBC).,2
The student should have scored minimum 50% marks and first or second rank students in the class (Any number of eligible students in a class).,2
The student must be studying in 8th to 10th Class/Grade.,2
Orphan candidate requires Recommendation Letter.,2
Percentage of Disability should be minimum 40% to get disability benefit of 2500 instead of 1500,2
The Student must belong to the Other Backward Class (OBC) Category.,2
The applicant must belong to Scheduled Caste Category.,2
The student must be studying in 5th to 7th Class/Grade.,2
Applicants who received the scholarship in the previous year can apply for renewal.,2
"Candidates who, after passing one stage of education are studying in the same stage of education in a different subject e.g. Intermediate Science after Intermediate Arts or B.Com after B.A. or M.A in one subject after M.A in other subjects will not be eligible.",2
Maharashtrian students studying outside of Maharashtra state cannot apply for this scheme.,2
The Student must belong to BPL Category.,2
No scholarship will be paid to the Applicants under this scheme from the date she accepts another Scholarship / stipend.,2
Devadasis,2
The student must be studying in a Government or Private Sainik School.,2
"The applicant must not have taken admission earlier in any ITI course, Government or Private.",2
"Annual family income (Parents/Guardians) must be ₹2,50,000 or less.",2
Should be Maharashtra Domicile,2
"The scheme is applicable to students belonging to Minority Communities, namely: Muslim, Buddhist, Christian, Jain, Sikh, Parsi, Jewish",2
"Applicants who have: Previously taken benefit of any vocational training, or Availed training under any Central or State Government sponsored training programme, are not eligible.",2
Income should not be more than 21000 or should be BPL,2
The Student must belong to the Scheduled Caste (SC) category.,2
"If the applicant changes her professional course during the academic year after availing benefits, she will not be eligible for further benefits.",2
Applicant will be eligible for scholarship if she changes the course Non – Professional to Professional but she will not be eligible if she changes the course from Professional to Non – Professional.,2
"While benefiting from this scheme, a student cannot avail the benefit of any other scholarship or concession from the Central or State Government. However, this condition does not apply to backward-class students. If they are receiving reimbursement of tuition fees or examination fees according to Central/State Government scholarships/concessions, such tuition fees or examination fees are not payable to backward-class students. Furthermore, students receiving the National Talent Search Scholarship can also benefit from this scheme. However, the amount of the book allowance received under the National Talent Search Scholarship will be deducted, and the remaining book allowance amount will be payable for this scholarship.",2
Applicant must be a girl student.,2
Academic gap during the course must not exceed 3 years for ST Students.,1
"The scheme is applicable to all social categories, including: Scheduled Caste (SC) Scheduled Tribe (ST) Vimukta Jati / Nomadic Tribes (VJNT) Other Backward Classes (OBC) Special Backward Category (SBC) Minority communities Open Category Economically Weaker Section",1
Applicant must belong to the Scheduled caste or Navbouddha.,1
Applicant must secure at least 75% marks in SSC examination.,1
Applicant must belong to the Scheduled Tribe,1
The family annula income for this Scholarship for ST Category should not be more than 2.5 Lakhs and less than 8 lakh. (If Income is less than 2.5 Lakhs then the Applicant will be eligible for GOI Scholarship),1
Applicant must not be availing benefit of same type of scholarship scheme simultaneously.,1
The family annula income for this Scholarship for ST Category should not be more than 8 lakh,1
Trainees from Private ITIs (PITI) are not eligible.,1
"The applicant must have taken admission in courses approved by DGT, New Delhi, or MSCVT.",1
If Applicant Annual Family Income is less than 2.5 Lakh then Government of India Post-Matric Scholarship will be shown for apply inplace of this and all benefits of the same shall apply,1
Destitute men and women aged 18 to 65 years,1
Admission must be taken only through Centralised Admission Process.,1
Applicant is not eligible for maintenance allowance if Applicant takes admission in government hostel.,1
Applicant must belong to theVimukta Jati / Nomadic Tribes (VJNT) and Special Backward Class (SBC) Category.,1
"The applicant must belong to: Socially and Educationally Backward Classes, or Open Category – Economically Weaker Section (EWS).",1
"Total scholarships: 1,600 students Distribution stream-wise: Science: 1,000 Commerce: 400 Arts: 200",1
"Reservation within scheme: 30% girls, 5% disabled",1
Applicant must belong to the Vimukta Jati / Nomadic Tribes (VJNT) and Special Backward Class (SBC) Category.,1
Applicant must have secured 75% and above marks in 10th standard Examination.,1
Academic gap during the course must not exceed 3 years for SC Students.,1
Education gap is not allowed for this scholarship.,1
Applicant cannot take scholarship for more than 2 professional courses.,1
"The following sets for the said scholarship are approved for Colleges as follows: Government Colleges - Total - 54 Government Institute of Science, Aurangabad - 6 Ismail Yusuf College, Mumbai -4 Government Law College, Mumbai - 4 Sydenham College of Commerce and Economics, Mumbai - 4 Government Institute of Science, Mumbai - 6 Elphinstone College, Mumbai - 4 Government Institute of Science, Nagpur - 6 Vasantrao Naik Government Arts and Social Science Institute, Nagpur - 6 Government Vidarbha Knowledge Institute of Science, Amravati - 6 Rajaram College, Kolhapur - 6",1
Aplhabudharak/Registered Labour. No Limit and all eligibile students meeting other criteria is eligible for Schemes,1
"Under this scheme, there will be no limit on the number of students eligible for the maintenance allowance if their income is up to ₹1.00 lakh. However, for students with an income limit of ₹1.00 lakh to ₹8.00 lakh who are taking admission to professional courses, a maximum limit of 500 beneficiaries is fixed for each district. Of these, 33% of the seats are reserved for female students. If insufficient female students are available, the vacant seats can be utilized for male students in the same district.",1
"Senior College: For renewal, students need a minimum of 65 percent marks in the previous year.",1
"Meritorious students in the examinations of the Mumbai, Pune, Latur, Aurangabad, Nashik, Kolhapur, Amravati, Nagpur, and Konkan divisions of the Maharashtra State Secondary Education Board are selected annually as follows: First five students (5) from the general merit list. First two girls (2) according to merit. First two students (2) from the backward classes according to merit. First two students (2) from the Science faculty. First two students (2) from the Arts faculty. First two students (2) from the Commerce faculty. A total of 15 students per division, making a grand total of 135 students from the 9 divisional boards.",1
"Meritorious students in the examinations of the Mumbai, Pune, Latur, Aurangabad, Nashik, Kolhapur, Amravati, Nagpur, and Konkan divisions of the Maharashtra State Secondary Education Board are selected annually as follows: First five students (5) from the general merit list. First three girls (3) according to merit. First three students (3) from the backward classes according to merit. A total of 11 students per division, making a grand total of 99 students from the 9 divisional boards.",1
"Junior College: For renewal, students need a minimum of 55 percent marks in the previous year.",1
"While preparing the merit list, if two or more students secure equal marks, preference shall be given to the student with lower annual family income.",1
"While preparing the merit list, 70% seats shall be filled through general merit, and 30% seats shall be reserved for girls.",1
"Under this scheme, 30% of the scholarships shall be reserved for girls. If no eligible girl students are available within a particular minority community, then the scholarships shall be awarded to boys from the same minority community.",1
The girls included in the 70% general list shall not be counted again in the 30% reserved list.,1
"First, a general merit list of 70% students (including girls) shall be prepared. Thereafter, 30% of the scholarships shall be awarded to girls.",1
Person should have minimum 40% disability,1
Renewal will have the same benefits and eligibility criteria.,1
"If a student fails more than once in a class, then the student is not eligible till she passes the class.",1
Student should not take benefits of any other scholarship scheme/stipend else he/she is not eligible.,1
There is no Income limit for this scheme.,1
Student must not be a resident of government-aided hostel or aided residential school.,1
The student must be studying in 6th to 10th Class/Grade.,1
Parents/Guardians must be engaged in Unclean and Hazardous Occupation.,1
The student must be studying in 9th to 10th Class/Grade.,1
"Annual family income (Parents/Guardians) must be ₹1,50,000 or less.",1
The Student must belong to Below Poverty Line (BPL).,1
"If a student fails for the year, the student is not eligible till she passes the class.",1
"If a student takes admission for a course in an institute within their normal place of residence (village/city), they will not be eligible for a maintenance allowance.",1
Minimum 75% attendance is required.,1
"Under this scheme, 30% of the scholarships is reserved for girls. First list of 70% students (combined) is prepared and after that 30% girls’ scholarship will be selected which are not included in 70% list.",1
The Applicants must be graduate from Science having 75% marks.,1
Only two children in a family are eligible for the scheme.,1
Applicant must be “Bonafide Student of Institute” and admitted in courses as notified under DMER Government Resolution dated 07-10-2017 (DMER courses).).,1
Applicant must appear for every semester or annual examination.,1
Applicant must be “Bonafide Student of Institute” and admitted in courses as notified under DMER Government Resolution dated 07-10-2017 (DMER courses).,1
Only first two children in a family are eligible for the scheme.,1
Applicant must be “Bonafide Student of Institute” and admitted in course as mentioned in GR dated 07-10-2017 (DMER courses).,1
"Under this scheme, 30% of the scholarships is reserved for girls.",1
The following branch wise sets for the said scholarship are approved as follows: Total - 1208 Arts - 285 Commerce - 230 Science - 638 Law - 55,1
The Applicant must have obtained a minimum of 60 percent marks in the 12th standard.,1
"The following sets for the said scholarship are approved for Universities as follows: University Nama - Total - 22 Mumbai University, Mumbai - 4 Savitribai Phule University, Pune - 4 Rashtrasant Tukadoji Maharaj University, Nagpur - 4 Dr. Babasaheb Ambedkar Marathwada University, Aurangabad - 4 S.N.D.T. Women's University, Mumbai - 2 Shivaji University, Kolhapur - 4",1
A student who is employed or receiving another stipend will not be eligible for this scholarship.,1
A student who has taken admission for two courses simultaneously will not be eligible for this scholarship.,1
The Applicant must have obtained a minimum of 60 percent marks in the 12th standard science examination and more than 60 percent marks in the subject of Mathematics or Physics.,1
Sanction Set-100 (Mathematics 50 and Physics 50),1
Maharashtrian students who are studying outside of Maharashtra cannot apply for this scheme.,1
Applicant must not be availing benefit of any other scholarship of State & Central Government simultaneously.,1
"For renewal, the annual progress report from Jawaharlal Nehru University, New Delhi, is required.",1
"For this scheme, a total of 80 seats have been sanctioned, with 20 seats each for the Government Vidyaniketan institutions located at Pusegaon, Amravati, Aurangabad, and Dhule.",1
"There are 3 sets of this scholarship at the state level and 11 sets at the college level. Government Institute of Science, Mumbai - 3 Government Institute of Science, Nagpur - 3 Government Institute of Science, Aurangabad - 3 Government Vidarbha Knowledge Institute of Science, Amravati - 1 Vasantrao Naik Government Arts and Social Science Institute, Nagpur -1 For students in agricultural universities and affiliated colleges in the state - 3",1
The benefit is admissible for one research programme at a time,1
"This scheme is not applicable for B.Ed. training courses, M.Phil, Ph.D., and similar courses. Engineering, Medical, MBA, MCA and other professional courses are also not eligible",1
Destitute men and women aged above 65 years,1
